,Date,stock,value,change
234,3/12/2007,AAPL,11.889664,-1.635698032
235,3/12/2007,GSPC,1406.599976,-2.036828202
236,3/13/2007,MSFT,21.506424,2.544909372
237,3/13/2007,IBM,76.974568,1.132567577
238,3/13/2007,SBUX,13.451183,-0.136248239
239,3/13/2007,AAPL,11.695185,1.809949992
240,3/13/2007,GSPC,1377.949951,0.669116683
241,3/14/2007,MSFT,22.053743,-0.437952868
242,3/14/2007,IBM,77.846357,-0.330637181
243,3/14/2007,SBUX,13.432856,0.920876394
244,3/14/2007,AAPL,11.906862,-0.477774917
245,3/14/2007,GSPC,1387.170044,0.368374809
246,3/15/2007,MSFT,21.957158,0.183284194
247,3/15/2007,IBM,77.588968,-0.214014962
248,3/15/2007,SBUX,13.556556,3.345724386
249,3/15/2007,AAPL,11.849974,0.022329163
250,3/15/2007,GSPC,1392.280029,-0.382830888
251,3/16/2007,MSFT,21.997402,1.829488773
252,3/16/2007,IBM,77.422916,0.793563497
253,3/16/2007,SBUX,14.010121,1.504255388
254,3/16/2007,AAPL,11.85262,1.718944841
255,3/16/2007,GSPC,1386.949951,1.089448685
256,3/19/2007,MSFT,22.399842,0.035933289
257,3/19/2007,IBM,78.037316,0.542612204
258,3/19/2007,SBUX,14.220869,1.095355003
259,3/19/2007,AAPL,12.05636,0.384062851
260,3/19/2007,GSPC,1402.060059,0.633345337
261,3/20/2007,MSFT,22.407891,2.44253241
262,3/20/2007,IBM,78.460756,0.910053683
263,3/20/2007,SBUX,14.376638,2.836205516
264,3/20/2007,AAPL,12.102664,2.612590088
265,3/20/2007,GSPC,1410.939941,1.708088155
266,3/21/2007,MSFT,22.955211,-0.876576565
267,3/21/2007,IBM,79.174791,-0.178268863
268,3/21/2007,SBUX,14.784389,-1.952282235
269,3/21/2007,AAPL,12.418857,0.095878389
270,3/21/2007,GSPC,1435.040039,-0.034842233
271,3/22/2007,MSFT,22.753991,-0.884332775
272,3/22/2007,IBM,79.033647,-0.168089168
273,3/22/2007,SBUX,14.495756,-0.695320755
